event_id,CountyFIPS,storm,event_start,duration_hours,outage_rows,merged_rows,outage_rows_with_observation,has_weather_rows
12075_2017-07-30 21:00:00,12075,2017212N28275,2017-07-30 21:00:00,86.0,111,110,110,True
12037_2017-09-09 19:00:00,12037,2017242N16333,2017-09-09 19:00:00,122.0,147,146,146,True
12059_2017-09-09 20:00:00,12059,2017242N16333,2017-09-09 20:00:00,43.0,68,67,67,True
12067_2017-09-09 20:00:00,12067,2017242N16333,2017-09-09 20:00:00,191.0,216,215,215,True
12013_2017-09-09 21:00:00,12013,2017242N16333,2017-09-09 21:00:00,54.0,79,78,78,True
12075_2017-09-09 22:00:00,12075,2017242N16333,2017-09-09 22:00:00,190.0,215,214,214,True
12079_2017-09-10 02:00:00,12079,2017242N16333,2017-09-10 02:00:00,124.0,149,148,148,True
12011_2017-09-10 06:00:00,12011,2017242N16333,2017-09-10 06:00:00,178.0,203,202,202,True
12086_2017-09-10 06:00:00,12086,2017242N16333,2017-09-10 06:00:00,210.0,235,234,234,True
12125_2017-09-10 11:00:00,12125,2017242N16333,2017-09-10 11:00:00,133.0,158,157,157,True
12021_2017-09-10 14:00:00,12021,2017242N16333,2017-09-10 14:00:00,263.0,288,287,287,True
12099_2017-09-10 14:00:00,12099,2017242N16333,2017-09-10 14:00:00,147.0,172,171,171,True
12111_2017-09-10 14:00:00,12111,2017242N16333,2017-09-10 14:00:00,131.0,156,155,155,True
12051_2017-09-10 16:00:00,12051,2017242N16333,2017-09-10 16:00:00,300.0,325,324,324,True
12093_2017-09-10 16:00:00,12093,2017242N16333,2017-09-10 16:00:00,175.0,200,199,199,True
12133_2017-09-10 16:00:00,12133,2017242N16333,2017-09-10 16:00:00,30.0,55,54,54,True
12107_2017-09-10 18:00:00,12107,2017242N16333,2017-09-10 18:00:00,207.0,232,231,231,True
12129_2017-09-10 18:00:00,12129,2017242N16333,2017-09-10 18:00:00,107.0,132,131,131,True
12041_2017-09-10 19:00:00,12041,2017242N16333,2017-09-10 19:00:00,173.0,198,197,197,True
12049_2017-09-10 21:00:00,12049,2017242N16333,2017-09-10 21:00:00,175.0,200,199,199,True
12029_2017-09-10 22:00:00,12029,2017242N16333,2017-09-10 22:00:00,167.0,192,191,191,True
12055_2017-09-10 22:00:00,12055,2017242N16333,2017-09-10 22:00:00,219.0,244,243,243,True
12105_2017-09-10 23:00:00,12105,2017242N16333,2017-09-10 23:00:00,192.0,217,216,216,True
12015_2017-09-11 00:00:00,12015,2017242N16333,2017-09-11 00:00:00,188.0,213,212,212,True
12035_2017-09-11 00:00:00,12035,2017242N16333,2017-09-11 00:00:00,190.0,215,214,214,True
12071_2017-09-11 00:00:00,12071,2017242N16333,2017-09-11 00:00:00,240.0,265,264,264,True
12085_2017-09-11 00:00:00,12085,2017242N16333,2017-09-11 00:00:00,116.0,141,140,140,True
12103_2017-09-11 00:00:00,12103,2017242N16333,2017-09-11 00:00:00,168.0,193,192,192,True
12117_2017-09-11 00:00:00,12117,2017242N16333,2017-09-11 00:00:00,191.0,216,215,215,True
12023_2017-09-11 01:00:00,12023,2017242N16333,2017-09-11 01:00:00,168.0,193,192,192,True
12083_2017-09-11 01:00:00,12083,2017242N16333,2017-09-11 01:00:00,197.0,222,221,221,True
12095_2017-09-11 01:00:00,12095,2017242N16333,2017-09-11 01:00:00,173.0,198,197,197,True
12097_2017-09-11 01:00:00,12097,2017242N16333,2017-09-11 01:00:00,160.0,185,184,184,True
12101_2017-09-11 01:00:00,12101,2017242N16333,2017-09-11 01:00:00,136.0,161,160,160,True
12121_2017-09-11 01:00:00,12121,2017242N16333,2017-09-11 01:00:00,161.0,186,185,185,True
12127_2017-09-11 01:00:00,12127,2017242N16333,2017-09-11 01:00:00,187.0,212,211,211,True
12123_2017-09-11 02:00:00,12123,2017242N16333,2017-09-11 02:00:00,135.0,160,159,159,True
12001_2017-09-11 03:00:00,12001,2017242N16333,2017-09-11 03:00:00,134.0,159,158,158,True
12017_2017-09-11 03:00:00,12017,2017242N16333,2017-09-11 03:00:00,168.0,193,192,192,True
12047_2017-09-11 03:00:00,12047,2017242N16333,2017-09-11 03:00:00,145.0,170,169,169,True
12069_2017-09-11 03:00:00,12069,2017242N16333,2017-09-11 03:00:00,207.0,232,231,231,True
12109_2017-09-11 03:00:00,12109,2017242N16333,2017-09-11 03:00:00,163.0,188,187,187,True
12019_2017-09-11 04:00:00,12019,2017242N16333,2017-09-11 04:00:00,133.0,158,157,157,True
12053_2017-09-11 04:00:00,12053,2017242N16333,2017-09-11 04:00:00,161.0,186,185,185,True
12119_2017-09-11 04:00:00,12119,2017242N16333,2017-09-11 04:00:00,154.0,179,178,178,True
12007_2017-09-11 05:00:00,12007,2017242N16333,2017-09-11 05:00:00,165.0,190,189,189,True
12031_2017-09-11 05:00:00,12031,2017242N16333,2017-09-11 05:00:00,114.0,139,138,138,True
12003_2017-09-11 07:00:00,12003,2017242N16333,2017-09-11 07:00:00,162.0,187,186,186,True
12073_2017-09-11 07:00:00,12073,2017242N16333,2017-09-11 07:00:00,60.0,85,84,84,True
12039_2017-09-11 08:00:00,12039,2017242N16333,2017-09-11 08:00:00,60.0,85,84,84,True
12077_2017-09-11 10:00:00,12077,2017242N16333,2017-09-11 10:00:00,30.0,55,54,54,True
12043_2017-09-11 22:00:00,12043,2017242N16333,2017-09-11 22:00:00,238.0,263,262,262,True
12063_2017-09-15 17:00:00,12063,2017242N16333,2017-09-15 17:00:00,35.0,60,59,59,True
12063_2018-06-02 20:00:00,12063,2018146N19273,2018-06-02 20:00:00,28.0,53,52,52,True
12049_2018-09-09 01:00:00,12049,2018246N22283,2018-09-09 01:00:00,26.0,51,50,50,True
12063_2018-10-09 00:00:00,12063,2018280N18273,2018-10-09 00:00:00,553.0,578,577,577,True
12077_2018-10-10 13:00:00,12077,2018280N18273,2018-10-10 13:00:00,388.0,413,412,412,True
12129_2018-10-10 13:00:00,12129,2018280N18273,2018-10-10 13:00:00,156.0,181,180,180,True
12045_2018-10-10 15:00:00,12045,2018280N18273,2018-10-10 15:00:00,514.0,539,538,538,True
12037_2018-10-10 16:00:00,12037,2018280N18273,2018-10-10 16:00:00,151.0,176,175,175,True
12039_2018-10-10 16:00:00,12039,2018280N18273,2018-10-10 16:00:00,345.0,370,369,369,True
12059_2018-10-10 16:00:00,12059,2018280N18273,2018-10-10 16:00:00,221.0,246,245,245,True
12005_2018-10-10 17:00:00,12005,2018280N18273,2018-10-10 17:00:00,504.0,529,528,528,True
12131_2018-10-10 17:00:00,12131,2018280N18273,2018-10-10 17:00:00,56.0,81,80,80,True
12013_2018-10-10 18:00:00,12013,2018280N18273,2018-10-10 18:00:00,511.0,536,535,535,True
12073_2018-10-10 18:00:00,12073,2018280N18273,2018-10-10 18:00:00,146.0,171,170,170,True
12133_2018-10-10 18:00:00,12133,2018280N18273,2018-10-10 18:00:00,413.0,438,437,437,True
12065_2018-10-10 19:00:00,12065,2018280N18273,2018-10-10 19:00:00,53.0,78,77,77,True
12079_2018-10-10 20:00:00,12079,2018280N18273,2018-10-10 20:00:00,26.0,51,50,50,True
12013_2020-09-12 22:00:00,12013,2020256N25281,2020-09-12 22:00:00,112.0,137,136,136,True
12033_2020-09-16 04:00:00,12033,2020256N25281,2020-09-16 04:00:00,117.0,142,141,141,True
12113_2020-09-16 09:00:00,12113,2020256N25281,2020-09-16 09:00:00,86.0,111,110,110,True
12091_2020-09-16 10:00:00,12091,2020256N25281,2020-09-16 10:00:00,39.0,64,63,63,True
12051_2021-07-04 07:00:00,12051,2021182N09317,2021-07-04 07:00:00,39.0,64,63,63,True
12029_2021-07-06 00:00:00,12029,2021182N09317,2021-07-06 00:00:00,46.0,71,70,70,True
12037_2021-08-16 17:00:00,12037,2021222N14301,2021-08-16 17:00:00,25.0,50,49,49,True
12013_2021-08-16 21:00:00,12013,2021222N14301,2021-08-16 21:00:00,44.0,69,68,68,True
12077_2021-08-17 01:00:00,12077,2021222N14301,2021-08-17 01:00:00,25.0,50,49,49,True
12065_2021-09-09 07:00:00,12065,2021252N28273,2021-09-09 07:00:00,25.0,50,49,49,True
12051_2022-09-27 17:00:00,12051,2022263N10313,2022-09-27 17:00:00,196.0,221,220,220,True
12021_2022-09-28 13:00:00,12021,2022263N10313,2022-09-28 13:00:00,165.0,190,189,189,True
12027_2022-09-28 14:00:00,12027,2022263N10313,2022-09-28 14:00:00,224.0,249,248,248,True
12071_2022-09-28 14:00:00,12071,2022263N10313,2022-09-28 14:00:00,263.0,288,287,287,True
12081_2022-09-28 15:00:00,12081,2022263N10313,2022-09-28 15:00:00,152.0,177,176,176,True
12115_2022-09-28 15:00:00,12115,2022263N10313,2022-09-28 15:00:00,204.0,229,228,228,True
12015_2022-09-28 16:00:00,12015,2022263N10313,2022-09-28 16:00:00,228.0,253,252,252,True
12043_2022-09-28 22:00:00,12043,2022263N10313,2022-09-28 22:00:00,123.0,148,147,147,True
12055_2022-09-28 23:00:00,12055,2022263N10313,2022-09-28 23:00:00,118.0,143,142,142,True
12105_2022-09-28 23:00:00,12105,2022263N10313,2022-09-28 23:00:00,96.0,121,120,120,True
12127_2022-09-29 00:00:00,12127,2022263N10313,2022-09-29 00:00:00,119.0,144,143,143,True
12093_2022-09-29 04:00:00,12093,2022263N10313,2022-09-29 04:00:00,68.0,93,92,92,True
12095_2022-09-29 04:00:00,12095,2022263N10313,2022-09-29 04:00:00,70.0,95,94,94,True
12097_2022-09-29 04:00:00,12097,2022263N10313,2022-09-29 04:00:00,39.0,64,63,63,True
12061_2022-09-29 05:00:00,12061,2022263N10313,2022-09-29 05:00:00,48.0,73,72,72,True
12111_2022-09-29 05:00:00,12111,2022263N10313,2022-09-29 05:00:00,39.0,64,63,63,True
12069_2022-09-29 06:00:00,12069,2022263N10313,2022-09-29 06:00:00,42.0,67,66,66,True
12009_2022-09-29 07:00:00,12009,2022263N10313,2022-09-29 07:00:00,62.0,87,86,86,True
12109_2022-09-29 08:00:00,12109,2022263N10313,2022-09-29 08:00:00,38.0,63,62,62,True
12107_2022-09-29 10:00:00,12107,2022263N10313,2022-09-29 10:00:00,35.0,60,59,59,True
